Year;Country;CRY;Host;Species;Study type;Study design & methodology;Parameters;Key results;Data gaps;Evaluation;Reference
2015;Czech Republic ;MON810;NA;Carabidaem, Staphylinidae, Araneae;Field;MON810 grown on same plots for 3 years. Predators monitored with pitfall traps.;Numbers of predators captured in MON810 vs non-GM;No significant differences between plots with MON810 and non-GM;None;"""Typical"" field study that gives an indication that numbers of key predators are not influenced by the plants (or plant residues) being GM. These predators are generalists, are mostly on the soil surface and probably do not consume much of the target organisms, so the result is not surprising.";O. Skokova Habustova, et al. 2015
2015;Brazil;Cry1F, Cry1F, Cry1A.105, Cry2Ab2;Maize;Spodoptera eridania ;Laboratory;Larvae fed Maize expressing Cry1F and Cry1F + Cry1A.105 + Cry2Ab2.;Mortality;Maize is not a suitable host plant for S. eridania.This non-target herbivore is thus not a potential pest in Maize.;None;Simple laboratory study. The results are of negligible relevance in terms of environmental risk. NB. National journal (Brazil);O. Ceolin-Bortolotto et al.2015
2016;Brazil;Cry1F, Cry1F, Cry1A.105, Cry2Ab2;Maize;Spodoptera eridania, S. frugiperda;Laboratory;Larvae fed Maize expressing Cry1F and Cry1F + Cry1A.105 + Cry2Ab2.;Extent of larval period, larval survival (%), food consumption, and pupal biomass ;100% mortality in both species;None;Simple laboratory study. The results are of negligible relevance in terms of environmental risk. NB. National journal (Brazil);O. Ceolin-Bortolotto et al 2016
2015;USA;Cry1Ab;Maize;Eisenia fetida, Hyalella azteca, Ancyronyx spp. ;Laboratory;Bioassays exposing test organisms to leachate from leaf tissue from plots with Bt-Maize (Cry1Ab), with or without pesticides.;Acute toxicity;No acute toxicity was observed in any of the 3 nontarget species after exposure to senescent Bt corn leaf tissue. ;None;The study was of acceptable quality. The focus was more on the pesticides applied than on the GMO.;Whiting and Lydy 2015
2014;Brazil;Cry1Ab;Maize;Podisus nigrispinus ;Laboratory;Bioassays exposing the predator to prey that fed on Bt-Maize (Cry1Ab) in laboratory and on potted plants.;nymph development, survival and biomass ;The predator had delayed development and lower biomass when fed on prey from Bt-Maize. The authors attribute this to lower nutritional quality of the prey, as the prey had very short survival time on the Bt-Maize.;None;The study appears to be of good quality. The results are similar to many previous studies that conclude that effects of Bt-Maize on natural enemies are indirect.;Leite et al. 2014
2014;South Africa;Cry1Ab;Maize;Heteronychus arator, Somaticus angulatus, Helicoverpa armigera ;Laboratory;Test insects were fed Bt- (Cry1Ab) or non-Bt-Maize leaves.;mortality, growth, fecundity and fertility ;No effect on beetles. 100% mortality on lepidopteran.;None;The study appears to be of good quality. The results are as would be expected for Cry1Ab, with no effect on beetles, and good control of the lepidopteran pest.;Erasmus & Van den Berg, 2014
2014;Spain;Cry1Ab;Maize;Orius spp., Nabis spp., Carabidae, Chrysopidae, Coccinellidae, Araneae, Dermaptera, Staphylinidae,Collembola, Myriapoda, Cicadellidae, Fulgoroidea, Ichneumonidae, Mymaridae, Chalcidoidea, Chloropidae, Muscoidea Aphididae;Field;Meta-analysis of data from 20 field trials (11 years). Data were from visual counts, pifall traps and yellow sticky traps. The field trials were in Bt-Maize, either single or stacked.;Numbers of individuals trapped.;Bt Maize has no effect on the most common herbivore, predatory and parasitoid arthropods found in the Maize ecosystems of southern Europe. ;None;The study appears to be of good quality. The results are not new information, but a re-analysis of previous studies.;Comas et al. 2014
2016;None (review);None;None;Many;Review;Review;review;No significant harmful impact has been reported in any case study related to approved GM events ;None;This mini-review is very broad and sweeping. It does not add new information.;Yaqoob et al 2016
2016;USA;Cry1Ab, Cry1Ab;Maize, Soya;Carabidae, Cyclotrachelus iowensis;Fieldand laboratory ;"The six most common putatively omnivorous carabids were tested to see if they acquired Cry1Ab from Bt Maize, in 10 University-owned fields: 4 control (Maize or Soya), 4 1-yr Bt Maize residues (stalks, leaves) in soil, 1 planted with Bt Maize, 1 with 2-yr old Bt Maize residues; live traps for carabids; trapped beetles frozen then analysed for Cry1Ab; 7 trap sessions during summer. Wild-caught individuals of commonest species, Cyclotrachelus iowensis, collected from control fields, were used for a laboratory feeding trial, and fed either Bt Maize residue or non-Bt Maize residue. Cry1Ab concentration in beetles and in residues was assayed by ELISA.";"Carabid species; body size; concentrations of Cry1Ab in beetles, in residues.";3 species acquired Cry1Ab from both live plants and residues, 2 species only from live plants, 1 species from neither. Laboratory-fed C. iowensis acquired Cry1Ab from both. Larger beetles acquired proportionately higher amounts of Bt toxins than smaller. The authors conclude that carabid species vary significantly in their ecological roles in agricultural food webs. Some ground beetle species do acquire Cry proteins in GM Maize fields. Which species do so depends on their feeding behaviour;None;The work was internationally funded (USA and Switzerland) and published in a (the?). leading biological control journal. Well designed internationally funded study.;Andow & Zwahlen, 2016
2015;Brazil;Cry1Ab;Maize;Scarabaeidae;Field;"Dung beetle community assayed using pitfall traps in 20 forest fragments surrounded by monocultures of either non-Bt or Bt-transgenic Maize crops ((Cry1Ab; 10 forest fragments each treatment). The crops were treated only with herbicides, no insecticides. ";"Scarab community composition (species richness, abundance, diversity) & species accumulation curves; forest fragment size; environmental complexity in fragments; distance between fragments; beetle body size (weight); differences in functional groups (three groups); differences in species fidelity to the two types of fragments.";"1500 beetles from 33 species were collected. Abundance, species richness, and species diversity were similar for the two treatments; community composition, including species most abundant, did differ, as did biomass (heavier scarab biomass in fragments near Bt Maize). Indicator species could be identified for each fragment type. Relative sizes of functional groups differed.";There were no clear indications of negative effects of transgenic Maize (surrounding the scarab habitat), though there were differences in scarab beetle community structure in forest fragments adjoining GM crops vs fragments adjoining non-GM crops;Unknown causal link between Bt treatment (which kills pest insects) and scarabs (which feed on dung or dead animals). Differences in crop management (Bt vs non-Bt crops) not measured (but acknowledged as an alternative explanation for functional group and community differences. The journal is peer-reviewed and has a relatively high (>3) impact factor in its field (pest management).;Campos & Hern ndez 2015
2016;Brazil;None;Maize;Spodoptera frugiperda;Field;Insects were collected directly from plants, over two months in large fields of conventional and Bt Maize over a wide geographic area. Conventional Maize crops received up to 3 insecticide applications (which is low compared with other regions of the country), Bt Maize None.;"Bt proteins (Cry1F, Cry1Ab, Cry2Ab2 + Cry1A105); insect species; Maize source (hybrid identity); Maize plant part (leaf whorl, ear, tassel); size of Spodoptera larvae; species richness, species diversity. ";Though there were large differences among Maize fields, there was no general negative effect of Bt proteins on insect species richness (including on natural enemy richness). Species richness was generally low. M Maize seemed to have no general effects on species richness of non-target pests or enemies of pests.;None;The paper is from the peer-reviewed journal published by the Brasilian Entomology Society, and has a low journal impact factor.;Chaves et al., 2016
2016;Unknown;Cry1Ac, Cry2Ab, Cry1F;Maize, Cotton;Herbivorous two-spotted spider mite, Tetranychus urticae, and its predator, Ambyseius andersoni;Laboratory;T. urticae were reared in 1.5 mm tubes on leaves of Cry1Ac/Cry2Ab Cotton or Cry1F Maize. Bioactivity of Bt proteins after ingestion by mites was tested by applying crushed mites (in solution) to cabbage leaf disks fed to Bt-susceptible Plodia moth larvae. Predator mites were tested for Bt vs non-Bt preferences in paired choice tests (with spider mite prey). Prey-mediated effects of Cry1Ac/Cry2Ab Cotton on the predator were tested in a controlled experiment. Bt protein levels in Cotton and Maize were measured before and after infestation by spider mites. ;For spider mite experiments, ite survival rate, development time, fecundity, and hatching rate were measured. For Bt effects on predators, survivorship of each life stage of the predator was measured. Bt protein levels were measured using ELISA.;There were no effects of Bt on the biology of spider mites, or on their predator. The test with Plodia larvae demonstrated that spider mites did have biologically active Bt proteins in their bodies. Cry protein concentrations declined greatly as they moved from plants to herbivores to predators. Amblyseius predators showed no preference, in choice tests.;None;"The authors convincingly demonstrate that ""... T. urticae reared on Cry1Ac/Cry2Ab and non-Bt Cotton or Cry1F and non-Bt Maize did not significantly differ in any developmental or reproductive life history parameters even though they had ingested relevant levels of Bt proteins from Maize and Cotton."" The research was funded by the USDA and carried out by a large group of international scientists. The journal is for all it is peer-reviewed and has a good impact factor. aspects of higher organism transgenic research, in its 26th year;";Guo et al., 2016
